numbers_id,release_date,production_budget,domestic_gross_revenue,worldwide_gross_revenue,year,imdb_id,production_budget_infAdj,domestic_gross_revenue_infAdj,worldwide_gross_revenue_infAdj,profit,profit_infAdj,roi,kim_id,mpaa,sex,violence,language,type,metacritic_rating,tmdb_rating,rt_rating,fa_rating,genres,genre_Action,genre_Adult,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,genre_\N,genre__NULL
48.0,2020-08-26,205000000.0,58504105.0,360240189.0,2020,tt6723592,234657011.34,66967797.22156854,412355542.0258378,155240189.0,177698530.68583778,0.7572692146341463,4910.0,PG-13,1.0,6.0,5.0,Movie,69.0,7.2,69.0,6.3,"Action,Sci-Fi,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49.0,2021-12-14,200000000.0,814115070.0,1910048245.0,2021,tt10872600,226152000.0,920568756.5532,2159806153.5162,1710048245.0,1933654153.5162,8.550241225,4661.0,PG-13,2.0,6.0,4.0,Movie,71.0,8.0,93.0,7.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4358.0,,7500000.0,0.0,10834406.0,,tt10872600,7500000.0,0.0,10834406.0,3334406.0,3334406.0,0.44458746666666665,4661.0,PG-13,2.0,6.0,4.0,Movie,71.0,8.0,93.0,7.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0,2018-02-13,200000000.0,700059566.0,1336494320.0,2018,tt1825683,238764456.8238421,835746710.1016232,1595536701.8147511,1136494320.0,1356772244.990909,5.6824716,550.0,PG-13,2.0,6.0,3.0,Movie,88.0,7.4,,5.9,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51.0,1997-12-18,200000000.0,674396795.0,2222985568.0,1997,tt0120338,373194112.79454416,1258404567.9075453,4148025634.0241795,2022985568.0,3774831521.2296352,10.11492784,5008.0,PG-13,6.0,6.0,5.0,Movie,75.0,7.9,88.0,6.8,"Drama,Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52.0,2018-06-15,200000000.0,608581744.0,1242805359.0,2018,tt3606756,238764456.8238421,726538447.6953326,1483688732.3969755,1042805359.0,1244924275.5731335,5.214026795,2452.0,PG,1.0,3.0,2.0,Movie,80.0,7.5,93.0,6.7,"Action,Adventure,Animation",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.0,2016-12-14,200000000.0,533539991.0,1055083596.0,2016,tt3748528,246946828.8039907,658780044.0877987,1302747740.7765543,855083596.0,1055800911.9725636,4.27541798,4218.0,PG-13,1.0,5.0,1.0,Movie,65.0,7.5,84.0,6.9,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54.0,2016-06-16,200000000.0,486295561.0,1025006125.0,2016,tt2277860,246946828.8039907,600445733.2520381,1265610060.3670845,825006125.0,1018663231.5630938,4.125030625,1678.0,PG,1.0,3.0,1.0,Movie,77.0,7.0,94.0,6.6,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.0,2019-06-20,200000000.0,434038008.0,1073064540.0,2019,tt1979376,233077369.01975998,505822184.7960877,1250535298.857995,873064540.0,1017457929.838235,4.3653227,5049.0,G,1.0,3.0,1.0,Movie,84.0,7.5,97.0,7.0,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.0,2010-06-18,200000000.0,415004880.0,1068879522.0,2010,tt0435761,272817639.9014495,566103259.5459213,1458045942.6551473,868879522.0,1185228302.7536979,4.34439761,5048.0,G,1.0,3.0,1.0,Movie,92.0,7.8,98.0,7.9,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.0,2022-05-04,200000000.0,411331607.0,952224986.0,2022,tt9419884,216000000.0,444238135.56,1028402984.8800001,752224986.0,812402984.8800001,3.76112493,1303.0,PG-13,1.0,7.0,4.0,Movie,60.0,7.4,74.0,6.4,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0,2013-04-24,200000000.0,408992272.0,1215392272.0,2013,tt1300854,254916732.43389642,521294867.8447769,1549119133.0182474,1015392272.0,1294202400.584351,5.07696136,2549.0,PG-13,3.0,7.0,4.0,Movie,62.0,6.9,79.0,6.1,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59.0,2017-04-28,200000000.0,389813101.0,869087963.0,2017,tt3896198,243874016.19987234,475326432.54098237,1059739859.8388803,669087963.0,815865843.6390079,3.345439815,2058.0,PG-13,3.0,6.0,4.0,Movie,67.0,7.6,85.0,6.7,"Action,Adventure,Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
